PaperName,Author,FromSchool,Time,Url
思维的认知哲学研究,周振华,山西大学,2016-06-01,//cdmd.cnki.com.cn/Article/CDMD-10108-1017000421.htm
情商网络模型及算法研究,公超,北京科技大学,2020-05-27,//cdmd.cnki.com.cn/Article/CDMD-10008-1020109086.htm
基于Community Intelligence的水电企业模型及应用研究,曾洪涛,华中科技大学,2006-05-01,//cdmd.cnki.com.cn/Article/CDMD-10487-2008024624.htm
iRobot——一种基于类自然语言人机交互系统的初步研究与实现,李金厚,浙江大学,2005-11-01,//cdmd.cnki.com.cn/Article/CDMD-10335-2006073634.htm
基于眼底荧光血管造影的视网膜静脉阻塞人工智能分型诊断系统及其应用,侯军军,天津医科大学,2020-05-01,//cdmd.cnki.com.cn/Article/CDMD-10062-1020441148.htm
学术论文关键指标智能化评价研究,杜杏叶,吉林大学,2019-12-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1020011312.htm
不确定性环境下的语言值推理及规则学习研究,张云霞,大连理工大学,2019-09-05,//cdmd.cnki.com.cn/Article/CDMD-10141-1019243482.htm
电力市场环境下售电公司购售电交易优化模型研究,喻小宝,华北电力大学(北京),2018-06-01,//cdmd.cnki.com.cn/Article/CDMD-11412-1018240728.htm
基于本体的路考评判专家系统研究与应用,吴业福,武汉理工大学,2014-03-01,//cdmd.cnki.com.cn/Article/CDMD-10497-1015001498.htm
基于人工智能的量化多因子模型的拓展及在中国股票市场上的应用,李兴有,中国社会科学院研究生院,2020-04-01,//cdmd.cnki.com.cn/Article/CDMD-80201-1020745272.htm
机器人视觉导航中的图像处理问题研究,胡凯,东南大学,2015-11-23,//cdmd.cnki.com.cn/Article/CDMD-10286-1016050232.htm
基于脑电的听觉注意解码与情绪识别的认知计算研究,陆云,哈尔滨工业大学,2020-07-01,//cdmd.cnki.com.cn/Article/CDMD-10213-1020401993.htm
大健康数据智能分析关键方法研究,张笑东,中国科学院大学(中国科学院沈阳计算技术研究所),2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-80133-1020626056.htm
地下水LNAPLs污染溯源辨析,李久辉,吉林大学,2021-06-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1021099670.htm
对抗样本技术在恶意软件检测和自动驾驶应用中的研究,刘鑫波,湖南大学,2020-04-16,//cdmd.cnki.com.cn/Article/CDMD-10532-1020405886.htm
电子商务订单实时处理的智能系统研究,许智超,大连理工大学,2005-10-01,//cdmd.cnki.com.cn/Article/CDMD-10141-2006064789.htm
重庆市流行性感冒流行特征及预测研究,宿昆,中国人民解放军陆军军医大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-91012-1020391608.htm
人工智能方法在估价领域的研究与应用,叶青,华侨大学,2011-04-01,//cdmd.cnki.com.cn/Article/CDMD-10385-1011303704.htm
人工智能在放射治疗中的若干应用研究,陈海斌,南方医科大学,2018-05-14,//cdmd.cnki.com.cn/Article/CDMD-12121-1018276210.htm
图像内容的语义描述与理解,袁爱红,中国科学院大学(中国科学院西安光学精密机械研究所),2018-11-01,//cdmd.cnki.com.cn/Article/CDMD-80142-1019813091.htm
免疫克隆策略算法及其应用研究,刘若辰,西安电子科技大学,2005-06-01,//cdmd.cnki.com.cn/Article/CDMD-10701-2006020236.htm
混合智能系统及其在商务智能中的应用研究,王刚,复旦大学,2008-04-09,//cdmd.cnki.com.cn/Article/CDMD-10246-2009019650.htm
基于Multi-Agent的分布式污水处理智能化系统研究,卿晓霞,重庆大学,2007-04-01,//cdmd.cnki.com.cn/Article/CDMD-10611-2007180056.htm
超临界CO_2压裂煤体分阶段致裂机理及裂缝扩展规律,闫浩,中国矿业大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-10290-1020826624.htm
面向临床决策支持的人工智能关键技术研究,李林峰,北京交通大学,2020-06-09,//cdmd.cnki.com.cn/Article/CDMD-10004-1020444499.htm
基于计算智能的计算机视觉及其应用研究,刘钊,武汉科技大学,2011-12-12,//cdmd.cnki.com.cn/Article/CDMD-11915-1012267705.htm
概念结构及其应用,张蕾,西北工业大学,2001-05-01,//cdmd.cnki.com.cn/Article/CDMD-10699-2003101454.htm
基于FPGA的卷积神经网络加速器关键技术研究,刘志强,国防科技大学,2019-04-01,//cdmd.cnki.com.cn/Article/CDMD-91002-1020385967.htm
陈潮祖医案“五经五纬”方证对应数字化模型研究,肖晔,成都中医药大学,2020-07-01,//cdmd.cnki.com.cn/Article/CDMD-10633-1020417421.htm
基于先验知识、实时态势感知、交互学习的MEMS仿生个体,赵岳生,清华大学,2013-10-01,//cdmd.cnki.com.cn/Article/CDMD-10003-1015007184.htm
关联规则挖掘算法研究,高飞,西安电子科技大学,2001-10-01,//cdmd.cnki.com.cn/Article/CDMD-10701-2002050396.htm
船型方案论证与智能决策方法研究,桑松,大连理工大学,2002-12-01,//cdmd.cnki.com.cn/Article/CDMD-10141-2003110418.htm
基于遗传继承视角的研究前沿演化研究,黄福,大连理工大学,2020-03-01,//cdmd.cnki.com.cn/Article/CDMD-10141-1020093950.htm
大功率三相PWM变换器的谐波优化,娄慧波,华中科技大学,2009-10-01,//cdmd.cnki.com.cn/Article/CDMD-10487-2010042308.htm
基于多Agent的智能管理信息系统理论与应用研究,黄逸民,浙江大学,2002-11-01,//cdmd.cnki.com.cn/Article/CDMD-10335-2003082904.htm
分布式强化学习理论及在多机器人中的应用研究,仲宇,哈尔滨工程大学,2003-10-01,//cdmd.cnki.com.cn/Article/CDMD-10217-2004141311.htm
基于因果图的不确定性推理理论及算法研究,王洪春,重庆大学,2005-04-20,//cdmd.cnki.com.cn/Article/CDMD-10611-2005145142.htm
不同水平油菜氮素含量遥感信息提取方法研究,王渊,浙江大学,2008-06-01,//cdmd.cnki.com.cn/Article/CDMD-10335-2008095083.htm
特殊岩性岩心实验分析新方法研究,周宇,中国科学院研究生院（渗流流体力学研究所）,2011-04-01,//cdmd.cnki.com.cn/Article/CDMD-80027-1011186833.htm
神经网络加速器的计算架构及存储优化技术研究,涂锋斌,清华大学,2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-10003-1020828815.htm
基于符号动力学的神经编码机制研究,丁炯,浙江大学,2014-04-28,//cdmd.cnki.com.cn/Article/CDMD-10335-1014218679.htm
新媒体“后阅读”：内容、传播与文化意义,郭峥,上海大学,2019-04-10,//cdmd.cnki.com.cn/Article/CDMD-10280-1019249681.htm
支持向量机的理论与算法研究,王国胜,北京邮电大学,2007-06-01,//cdmd.cnki.com.cn/Article/CDMD-10013-2008140227.htm
深部巷道围岩变形损伤机理及破裂演化规律研究,许国安,中国矿业大学,2011-05-01,//cdmd.cnki.com.cn/Article/CDMD-10290-1011281016.htm
知识图谱分布式表示研究,韩笑,北京邮电大学,2019-05-27,//cdmd.cnki.com.cn/Article/CDMD-10013-1019112867.htm
摩擦起电诱导的机械感知器件与系统集成研究,赵璇,北京科技大学,2020-11-03,//cdmd.cnki.com.cn/Article/CDMD-10008-1021001380.htm
动物伦理中的权利与福利问题研究,曹文斌,湘潭大学,2019-12-01,//cdmd.cnki.com.cn/Article/CDMD-10530-1020019248.htm
基于风险的电力系统静态安全分析与预防控制,陈为化,浙江大学,2007-09-01,//cdmd.cnki.com.cn/Article/CDMD-10335-2008028658.htm
基于卷积神经网络的电力系统暂态稳定评估,张若愚,北京交通大学,2020-09-01,//cdmd.cnki.com.cn/Article/CDMD-10004-1020444458.htm
Spiking神经网络学习算法及其应用研究,解修蕊,电子科技大学,2016-09-15,//cdmd.cnki.com.cn/Article/CDMD-10614-1017069836.htm
云机器人系统网络优化与计算卸载相关技术研究,郭宇,北京科技大学,2019-12-17,//cdmd.cnki.com.cn/Article/CDMD-10008-1020006692.htm
公务员体质健康促进智能化运动处方系统的研究与应用,张崇林,上海体育学院,2012-07-01,//cdmd.cnki.com.cn/Article/CDMD-10277-1014113972.htm
基于机器学习理论的智能电网数据分析及算法研究,杨延东,北京邮电大学,2020-03-20,//cdmd.cnki.com.cn/Article/CDMD-10013-1020162445.htm
基于联合稀疏和局部线性的极限学习机及应用,雒晓卓,西安电子科技大学,2015-09-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1016247728.htm
基于人工智能的土地利用适宜性评价模型研究与实现,於家,华东师范大学,2010-04-01,//cdmd.cnki.com.cn/Article/CDMD-10269-2010198417.htm
基于深度学习的智能汽车容错感知与决策控制方法研究,岳泊暄,浙江大学,2018-04-01,//cdmd.cnki.com.cn/Article/CDMD-10335-1019065967.htm
基于CBR-RBR集成方法的临床决策支持系统研究,叶枫,浙江工业大学,2011-10-18,//cdmd.cnki.com.cn/Article/CDMD-10337-1015534731.htm
城市交通信号系统智能控制策略研究,杨祖元,重庆大学,2008-04-01,//cdmd.cnki.com.cn/Article/CDMD-10611-2009047787.htm
相变存储半导体的电子规律与存储过程的第一性原理研究,陈念科,吉林大学,2018-06-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1018217992.htm
深基坑工程基本过程数值模拟及实时优化研究,沈细中,武汉大学,2004-04-20,//cdmd.cnki.com.cn/Article/CDMD-10486-2004111545.htm
InSAR及多基线InSAR关键技术研究,谢先明,电子科技大学,2011-03-01,//cdmd.cnki.com.cn/Article/CDMD-10614-1011191815.htm
基于知识系统和人工智能技术的个性化特体人群服装设计支持系统,洪岩,苏州大学,2018-03-01,//cdmd.cnki.com.cn/Article/CDMD-10285-1018146569.htm
认知无线电中基于认知引擎的自适应传输研究,于洋,哈尔滨工业大学,2015-04-01,//cdmd.cnki.com.cn/Article/CDMD-10213-1015957202.htm
基于遗传编程的电力变压器绝缘故障诊断模型研究,章政,上海交通大学,2007-01-01,//cdmd.cnki.com.cn/Article/CDMD-10248-2007053369.htm
基于中医状态学理论的健康状态辨识算法研究,辛基梁,福建中医药大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-10393-1020634024.htm
含多微网配电系统多元主体互动运行策略研究,吕天光,上海交通大学,2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-10248-1019640703.htm
劳动价值论研究,张鹏侠,东北师范大学,2007-03-01,//cdmd.cnki.com.cn/Article/CDMD-10200-2008017113.htm
基于遗传算法和多Agent协同的调度指挥系统研究,邢科家,铁道部科学研究院,2004-06-01,//cdmd.cnki.com.cn/Article/CDMD-83801-2004105189.htm
面向人工智能的嵌入式储存器及存内计算电路设计,司鑫,电子科技大学,2020-10-15,//cdmd.cnki.com.cn/Article/CDMD-10614-1021521764.htm
唯物史观视阈的信息文明研究,王水兴,江西师范大学,2018-06-01,//cdmd.cnki.com.cn/Article/CDMD-10414-1018135651.htm
基于XRD、NIR光谱技术及SVM算法的硅酸盐类矿物药快速鉴别研究,雷咪,湖北中医药大学,2018-05-11,//cdmd.cnki.com.cn/Article/CDMD-10507-1018166728.htm
高维因果网络结构学习关键技术研究,洪英汉,广东工业大学,2018-12-01,//cdmd.cnki.com.cn/Article/CDMD-11845-1019011358.htm
证据权土地适宜性评价模型及应用研究,吕利娜,中国地质大学(北京),2013-12-01,//cdmd.cnki.com.cn/Article/CDMD-11415-1016045491.htm
阴道镜下子宫颈鳞状上皮内病变的深度学习诊断系统的建立和验证,袁春女,浙江大学,2020-03-01,//cdmd.cnki.com.cn/Article/CDMD-10335-1020435681.htm
结肠镜肠道准备的优化及人工智能辅助结直肠息肉性质鉴别系统的建立与初步验证,潘鹏,中国人民解放军海军军医大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-91020-1020053313.htm
基于神经网络的关系抽取关键技术研究,张新松,上海交通大学,2019-05-22,//cdmd.cnki.com.cn/Article/CDMD-10248-1020727885.htm
媒体智能化背景下的新闻生产研究,贾军,武汉大学,2017-05-01,//cdmd.cnki.com.cn/Article/CDMD-10486-1017067070.htm
混沌神经网络及模糊混沌神经网络的研究与应用,郑丽颖,哈尔滨工程大学,2002-09-01,//cdmd.cnki.com.cn/Article/CDMD-10217-2003114008.htm
基于人工智能的汽车排气消声器设计技术研究,张杨,重庆大学,2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-10611-1018855594.htm
音乐认知研究及其计算分析,诸薇娜,厦门大学,2008-04-01,//cdmd.cnki.com.cn/Article/CDMD-10384-2009077600.htm
单回合的回合制战棋博弈模型搜索算法研究,南海,重庆大学,2016-09-01,//cdmd.cnki.com.cn/Article/CDMD-10611-1017801798.htm
面向产品全生命周期的网络化技术服务研究,周晶,东北大学,2009-05-01,//cdmd.cnki.com.cn/Article/CDMD-10145-1012300421.htm
早产儿视网膜病变危险因素分析及发病预测模型研究,陈鹤,南方医科大学,2019-05-01,//cdmd.cnki.com.cn/Article/CDMD-12121-1020022409.htm
三峡回水变动区船舶航行路径优化及三维环境仿真研究,张丹,武汉理工大学,2011-10-01,//cdmd.cnki.com.cn/Article/CDMD-10497-1012272731.htm
信用评估与信用卡欺诈侦测的智能决策系统研究,李睿,华南理工大学,2011-06-27,//cdmd.cnki.com.cn/Article/CDMD-10561-1011188680.htm
糖尿病性视网膜病变玻切术后难治性青光眼的治疗和糖网发病风险预测技术探索,齐飞,辽宁中医药大学,2020-05-01,//cdmd.cnki.com.cn/Article/CDMD-10162-1020414977.htm
非确定动作推理的霍尔证明系统,何健坤,中山大学,2016-05-07,//cdmd.cnki.com.cn/Article/CDMD-10558-1016791183.htm
高性能视觉跟踪关键技术研究,黄达飞,国防科学技术大学,2017-05-01,//cdmd.cnki.com.cn/Article/CDMD-90002-1018997010.htm
中薄板坯连铸连轧X70管线钢组织性能预测及优化控制研究,赵彦峰,东北大学,2011-12-06,//cdmd.cnki.com.cn/Article/CDMD-10145-1015565453.htm
基于CORBA的多Agent系统的研究与开发,陈沛帅,浙江大学,2003-06-01,//cdmd.cnki.com.cn/Article/CDMD-10335-2004035143.htm
基于激励的数据标记技术研究及应用,孙家军,南京航空航天大学,2018-06-01,//cdmd.cnki.com.cn/Article/CDMD-10287-1019633404.htm
基于格蕴涵代数的格值逻辑及其模型论的研究,王学芳,西南交通大学,2004-04-01,//cdmd.cnki.com.cn/Article/CDMD-10613-2005031637.htm
信息系统内部威胁检测与感知方法,张红斌,西安电子科技大学,2009-04-01,//cdmd.cnki.com.cn/Article/CDMD-10701-2009195321.htm
协作型模糊混沌神经网络研究,张建民,哈尔滨工程大学,2006-04-01,//cdmd.cnki.com.cn/Article/CDMD-10217-2006133494.htm
基于Agent的无线GIS关键技术研究,彭溢,武汉大学,2010-10-01,//cdmd.cnki.com.cn/Article/CDMD-10486-1011065955.htm
人类语言交际中的“所言”,段维军,东北师范大学,2009-10-01,//cdmd.cnki.com.cn/Article/CDMD-10200-2010024008.htm
水利枢纽闸门综合集成自动化研究与实践,张志学,华中科技大学,2004-03-01,//cdmd.cnki.com.cn/Article/CDMD-10487-2005036698.htm
基于条件事件代数的概率逻辑推理和概率逻辑衍推推理,李勇,云南大学,2010-05-01,//cdmd.cnki.com.cn/Article/CDMD-10673-2010262521.htm
基于格蕴涵代数的格值逻辑系统的归结自动推理研究,孟丹,西南交通大学,2004-03-01,//cdmd.cnki.com.cn/Article/CDMD-10613-2005031631.htm
多重抽象模型框架研究,王楠,吉林大学,2011-05-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1011098778.htm
